Date,SWC_5,SWC_10,SWC_20,SWC_50,T_5,T_10,T_20,T_50,Tair,RH,Srad,wind,Ppt,qc_good_frac,Station_ID,SMAP_raw,SMAP_ff,days_since_smap
2019-07-30,0.19929166666666667,0.20862499999999998,0.20562499999999997,0.19600000000000004,32.96875,32.87166666666666,32.19541666666667,29.325,29.633333333333336,0.61,312.45125,2.40225,0.0,1.0,TXS05,,0.0946424,3
2019-07-31,0.19933333333333333,0.20841666666666667,0.20575,0.19600000000000004,33.54541666666667,33.410833333333336,32.716249999999995,29.58458333333333,30.562083333333334,0.61,309.6666666666667,2.0265416666666667,0.0,0.7916666666666666,TXS05,,0.0946424,4
2019-08-01,0.19866666666666666,0.20779166666666668,0.20562499999999997,0.19600000000000004,33.58583333333333,33.54541666666667,32.964999999999996,29.856666666666666,29.471249999999998,2.3991666666666664,309.6383333333333,2.1896666666666667,0.0,0.7083333333333334,TXS05,0.1006467,0.1006467,0
2019-08-02,0.19825,0.20725000000000002,0.20520833333333333,0.19600000000000004,33.71125,33.663333333333334,33.0875,30.061666666666667,29.84375,0.61,311.3225,2.1665,0.0,1.0,TXS05,,0.1006467,1
2019-08-03,0.19762500000000002,0.20637499999999998,0.204875,0.19579166666666667,33.6475,33.69541666666667,33.22625,30.234166666666667,29.881249999999998,0.61,253.80499999999998,2.653583333333333,0.0,1.0,TXS05,,0.1006467,2
2019-08-04,0.19704166666666667,0.205375,0.2041666666666667,0.19562500000000002,33.479166666666664,33.47541666666667,33.024166666666666,30.344166666666666,28.99416666666667,0.61,305.8858333333333,2.6191666666666666,0.762,1.0,TXS05,0.1242742,0.1242742,0
2019-08-05,0.19675,0.20466666666666666,0.20366666666666666,0.19499999999999998,33.247083333333336,33.22208333333334,32.831250000000004,30.34875,29.46166666666667,0.61,254.31625,2.1331666666666664,0.0,1.0,TXS05,,0.1242742,1
2019-08-06,0.19625,0.204375,0.20329166666666668,0.19533333333333336,33.27458333333333,33.24375,32.8325,30.340833333333332,29.99625,0.61,257.1675,2.2187916666666667,0.0,1.0,TXS05,,0.1242742,2
2019-08-07,0.1965,0.20441666666666666,0.20329166666666668,0.19470833333333334,33.73833333333334,33.58375,32.97291666666667,30.364583333333332,30.21375,0.61,317.0158333333333,2.6407916666666664,0.0,1.0,TXS05,0.0943646,0.0943646,0
2019-08-08,0.196125,0.2041666666666667,0.20341666666666666,0.19462500000000002,33.954166666666666,33.90208333333333,33.365833333333335,30.49625,30.205833333333334,11.502083333333333,300.2416666666667,3.0997916666666665,0.0,1.0,TXS05,,0.0943646,1
