Station_ID,Date,Latitude,Longitude,SMAP_Moisture
TXS03,2016-05-31,30.29815,-98.74201,0.2795987
TXS03,2016-06-03,30.29815,-98.74201,0.288842
TXS03,2016-06-05,30.29815,-98.74201,0.283066
TXS03,2016-06-08,30.29815,-98.74201,0.2066878
TXS03,2016-06-11,30.29815,-98.74201,0.1683738
TXS03,2016-06-13,30.29815,-98.74201,0.1598239
TXS03,2016-06-16,30.29815,-98.74201,0.1388957
TXS03,2016-06-19,30.29815,-98.74201,0.1329643
TXS03,2016-06-21,30.29815,-98.74201,0.144417
TXS03,2016-06-24,30.29815,-98.74201,0.1229194
TXS03,2016-06-27,30.29815,-98.74201,0.1382838
TXS03,2016-06-29,30.29815,-98.74201,0.1623771
TXS03,2016-07-02,30.29815,-98.74201,0.1333026
TXS03,2016-07-05,30.29815,-98.74201,0.1134298
TXS03,2016-07-07,30.29815,-98.74201,0.1205448
TXS03,2016-07-10,30.29815,-98.74201,0.1139379
TXS03,2016-07-13,30.29815,-98.74201,0.1096395
TXS03,2016-07-15,30.29815,-98.74201,0.1229157
TXS03,2016-07-18,30.29815,-98.74201,0.1142028
TXS03,2016-07-21,30.29815,-98.74201,0.1203064
TXS03,2016-07-23,30.29815,-98.74201,0.1163504
TXS03,2016-07-26,30.29815,-98.74201,0.2346354
TXS03,2016-07-29,30.29815,-98.74201,0.161044
TXS03,2016-07-31,30.29815,-98.74201,0.1416016
TXS03,2016-08-03,30.29815,-98.74201,0.121578
TXS03,2016-08-06,30.29815,-98.74201,0.113091
TXS03,2016-08-08,30.29815,-98.74201,0.1096159
TXS03,2016-08-11,30.29815,-98.74201,0.1161072
TXS03,2016-08-14,30.29815,-98.74201,0.2839265
TXS03,2016-08-16,30.29815,-98.74201,0.3187074
TXS03,2016-08-19,30.29815,-98.74201,0.2789402
TXS03,2016-08-22,30.29815,-98.74201,0.3117177
TXS03,2016-08-24,30.29815,-98.74201,0.252747
TXS03,2016-08-27,30.29815,-98.74201,0.1982848
TXS03,2016-08-30,30.29815,-98.74201,0.1648593
TXS03,2016-09-01,30.29815,-98.74201,0.1499191
TXS03,2016-09-04,30.29815,-98.74201,0.1666823
