Station_ID,Latitude,Longitude,Date,DAYMET_Region,DAYMET_004_Line_Y_1000,DAYMET_004_Sample_X_1000,Precipitation,T_Max,T_Min,SMAP_Moisture
TXS01,30.42047,-98.80332,2015-08-09,na,6272.0,4673.0,0.0,38.1800003,21.0400009,0.1191189
TXS01,30.42047,-98.80332,2015-08-10,na,6272.0,4673.0,0.0,38.7900009,21.3600006,0.11928276
TXS01,30.42047,-98.80332,2015-08-11,na,6272.0,4673.0,0.0,39.0299988,20.0400009,0.11944662
TXS01,30.42047,-98.80332,2015-08-12,na,6272.0,4673.0,0.0,38.2700005,22.1900005,0.11961047999999999
TXS01,30.42047,-98.80332,2015-08-13,na,6272.0,4673.0,0.0,37.8199997,22.4899998,0.11977433999999999
TXS01,30.42047,-98.80332,2015-08-14,na,6272.0,4673.0,0.0,36.7200012,22.4699993,0.1199382
TXS01,30.42047,-98.80332,2015-08-15,na,6272.0,4673.0,0.0,34.5999985,22.2399998,0.1207749
TXS01,30.42047,-98.80332,2015-08-16,na,6272.0,4673.0,0.0,35.1300011,18.6299992,0.1184007
TXS01,30.42047,-98.80332,2015-08-17,na,6272.0,4673.0,0.0,34.8300018,20.3799992,0.1160265
TXS01,30.42047,-98.80332,2015-08-18,na,6272.0,4673.0,0.0,35.0600014,21.4799995,0.10965273333333334
TXS01,30.42047,-98.80332,2015-08-19,na,6272.0,4673.0,0.0,34.7799988,21.9300003,0.10327896666666667
TXS01,30.42047,-98.80332,2015-08-20,na,6272.0,4673.0,0.0,29.7399998,21.6499996,0.0969052
TXS01,30.42047,-98.80332,2015-08-21,na,6272.0,4673.0,0.0,33.5900002,20.7000008,0.1014819
TXS01,30.42047,-98.80332,2015-08-22,na,6272.0,4673.0,0.0,35.4300003,22.4599991,0.1060586
TXS01,30.42047,-98.80332,2015-08-23,na,6272.0,4673.0,0.0,36.1300011,22.75,0.0980403
TXS01,30.42047,-98.80332,2015-08-24,na,6272.0,4673.0,0.0,36.5900002,21.1399994,0.1032538
TXS01,30.42047,-98.80332,2015-08-25,na,6272.0,4673.0,0.0,36.9900017,21.3899994,0.1084673
TXS01,30.42047,-98.80332,2015-08-26,na,6272.0,4673.0,0.0,35.6399994,19.1000004,0.108916
TXS01,30.42047,-98.80332,2015-08-27,na,6272.0,4673.0,0.0,35.5900002,20.5699997,0.10936470000000001
TXS01,30.42047,-98.80332,2015-08-28,na,6272.0,4673.0,0.0,35.4000015,18.9599991,0.1098134
TXS01,30.42047,-98.80332,2015-08-29,na,6272.0,4673.0,0.0,34.2900009,19.2299995,0.10448135
TXS01,30.42047,-98.80332,2015-08-30,na,6272.0,4673.0,0.0,33.1199989,20.7000008,0.0991493
TXS01,30.42047,-98.80332,2015-08-31,na,6272.0,4673.0,0.0,33.8100014,19.8600006,0.10540806666666666
TXS01,30.42047,-98.80332,2015-09-01,na,6272.0,4673.0,0.0,33.3800011,20.1000004,0.11166683333333334
TXS01,30.42047,-98.80332,2015-09-02,na,6272.0,4673.0,0.0,33.4399986,19.7800007,0.1179256
TXS01,30.42047,-98.80332,2015-09-03,na,6272.0,4673.0,0.0,33.9500008,19.6299992,0.1108206
TXS01,30.42047,-98.80332,2015-09-04,na,6272.0,4673.0,0.0,34.8300018,21.3700008,0.1037156
TXS01,30.42047,-98.80332,2015-09-05,na,6272.0,4673.0,0.0,35.1100006,23.0499992,0.0966106
TXS01,30.42047,-98.80332,2015-09-06,na,6272.0,4673.0,0.0,35.5800018,21.8999996,0.10396895
TXS01,30.42047,-98.80332,2015-09-07,na,6272.0,4673.0,0.0,36.4900017,22.1599998,0.1113273
TXS01,30.42047,-98.80332,2015-09-08,na,6272.0,4673.0,0.0,35.3899994,21.9400005,0.12448786666666667
TXS01,30.42047,-98.80332,2015-09-09,na,6272.0,4673.0,1.2,30.6499996,22.0699997,0.13764843333333332
TXS01,30.42047,-98.80332,2015-09-10,na,6272.0,4673.0,0.0,33.4000015,20.8199997,0.150809
TXS01,30.42047,-98.80332,2015-09-11,na,6272.0,4673.0,0.0,31.8700008,21.0499992,0.14358763333333333
TXS01,30.42047,-98.80332,2015-09-12,na,6272.0,4673.0,0.0,30.8500004,18.2099991,0.13636626666666668
TXS01,30.42047,-98.80332,2015-09-13,na,6272.0,4673.0,0.0,30.9400005,16.3899994,0.1291449
TXS01,30.42047,-98.80332,2015-09-14,na,6272.0,4673.0,0.0,31.2099991,16.1000004,0.12065745
TXS01,30.42047,-98.80332,2015-09-15,na,6272.0,4673.0,0.0,32.5400009,17.7199993,0.11217
TXS01,30.42047,-98.80332,2015-09-16,na,6272.0,4673.0,0.85,31.5300007,19.8999996,0.10945450000000001
TXS01,30.42047,-98.80332,2015-09-17,na,6272.0,4673.0,0.0,33.0299988,21.3299999,0.106739
TXS01,30.42047,-98.80332,2015-09-18,na,6272.0,4673.0,0.0,33.8199997,21.6299992,0.1040235
TXS01,30.42047,-98.80332,2015-09-19,na,6272.0,4673.0,0.0,33.2400017,21.9300003,0.1014997
TXS01,30.42047,-98.80332,2015-09-20,na,6272.0,4673.0,0.0,33.2200012,17.0400009,0.0989759
TXS01,30.42047,-98.80332,2015-09-21,na,6272.0,4673.0,0.0,33.5400009,18.4099998,0.0964521
TXS01,30.42047,-98.80332,2015-09-22,na,6272.0,4673.0,0.0,33.4199982,17.5699997,0.1033468
TXS01,30.42047,-98.80332,2015-09-23,na,6272.0,4673.0,0.0,32.8699989,17.6000004,0.1102415
TXS01,30.42047,-98.80332,2015-09-24,na,6272.0,4673.0,0.0,31.7999992,16.6000004,0.10809173333333334
TXS01,30.42047,-98.80332,2015-09-25,na,6272.0,4673.0,0.0,32.0299988,16.1499996,0.10594196666666666
TXS01,30.42047,-98.80332,2015-09-26,na,6272.0,4673.0,0.0,32.6199989,14.7200003,0.1037922
TXS01,30.42047,-98.80332,2015-09-27,na,6272.0,4673.0,0.0,31.75,14.7700005,0.10687373333333333
TXS01,30.42047,-98.80332,2015-09-28,na,6272.0,4673.0,0.0,30.75,15.3000002,0.10995526666666668
TXS01,30.42047,-98.80332,2015-09-29,na,6272.0,4673.0,0.0,31.7700005,14.6599998,0.1130368
TXS01,30.42047,-98.80332,2015-09-30,na,6272.0,4673.0,0.0,32.9599991,16.0900002,0.11325855000000001
TXS01,30.42047,-98.80332,2015-10-01,na,6272.0,4673.0,0.0,32.3600006,15.8100004,0.1134803
TXS01,30.42047,-98.80332,2015-10-02,na,6272.0,4673.0,0.0,30.5599995,15.2399998,0.10789466666666667
TXS01,30.42047,-98.80332,2015-10-03,na,6272.0,4673.0,0.0,28.9699993,11.3900003,0.10230903333333334
TXS01,30.42047,-98.80332,2015-10-04,na,6272.0,4673.0,0.0,28.5799999,11.8199997,0.0967234
TXS01,30.42047,-98.80332,2015-10-05,na,6272.0,4673.0,0.0,28.4599991,14.4200001,0.09825523333333333
TXS01,30.42047,-98.80332,2015-10-06,na,6272.0,4673.0,0.0,30.7000008,12.1000004,0.09978706666666667
TXS01,30.42047,-98.80332,2015-10-07,na,6272.0,4673.0,0.0,30.6100006,12.79,0.1013189
TXS01,30.42047,-98.80332,2015-10-08,na,6272.0,4673.0,1.04,29.4400005,16.8500004,0.12962175
TXS01,30.42047,-98.80332,2015-10-09,na,6272.0,4673.0,0.0,29.0599995,18.6499996,0.1579246
TXS01,30.42047,-98.80332,2015-10-10,na,6272.0,4673.0,0.0,30.4099998,17.3500004,0.14398316666666666
TXS01,30.42047,-98.80332,2015-10-11,na,6272.0,4673.0,0.0,32.2799988,14.75,0.13004173333333333
TXS01,30.42047,-98.80332,2015-10-12,na,6272.0,4673.0,0.0,36.0,19.0499992,0.1161003
TXS01,30.42047,-98.80332,2015-10-13,na,6272.0,4673.0,0.0,33.1100006,17.5200005,0.11404183333333334
TXS01,30.42047,-98.80332,2015-10-14,na,6272.0,4673.0,0.0,33.9099998,9.5900002,0.11198336666666667
TXS01,30.42047,-98.80332,2015-10-15,na,6272.0,4673.0,0.0,32.6199989,12.1300001,0.1099249
TXS01,30.42047,-98.80332,2015-10-16,na,6272.0,4673.0,0.0,30.1200008,11.4099998,0.11386585
TXS01,30.42047,-98.80332,2015-10-17,na,6272.0,4673.0,0.0,29.2600002,11.4200001,0.1178068
TXS01,30.42047,-98.80332,2015-10-18,na,6272.0,4673.0,0.0,27.9699993,10.5699997,0.10962506666666667
TXS01,30.42047,-98.80332,2015-10-19,na,6272.0,4673.0,0.0,27.4099998,9.2600002,0.10144333333333333
TXS01,30.42047,-98.80332,2015-10-20,na,6272.0,4673.0,0.0,27.5599995,11.3800001,0.0932616
TXS01,30.42047,-98.80332,2015-10-21,na,6272.0,4673.0,1.91,28.2900009,16.4799995,0.1143558375
TXS01,30.42047,-98.80332,2015-10-22,na,6272.0,4673.0,1.86,24.9899998,19.9200001,0.135450075
TXS01,30.42047,-98.80332,2015-10-23,na,6272.0,4673.0,115.8000031,27.3199997,20.5200005,0.1565443125
TXS01,30.42047,-98.80332,2015-10-24,na,6272.0,4673.0,29.2700005,19.8999996,15.8599997,0.17763855
TXS01,30.42047,-98.80332,2015-10-25,na,6272.0,4673.0,2.48,18.5699997,11.5699997,0.1987327875
TXS01,30.42047,-98.80332,2015-10-26,na,6272.0,4673.0,0.0,24.0900002,9.8100004,0.219827025
TXS01,30.42047,-98.80332,2015-10-27,na,6272.0,4673.0,0.0,27.6599998,8.0699997,0.2409212625
TXS01,30.42047,-98.80332,2015-10-28,na,6272.0,4673.0,0.0,24.3600006,10.3100004,0.2620155
TXS01,30.42047,-98.80332,2015-10-29,na,6272.0,4673.0,9.6000004,25.0699997,6.1999998,0.2860587666666667
